"","launched","state","backers","duration_days","mean_pledged","percent_pledged","pledged_byday","usd_goal_lvl","region","percent_pledged_lvl"
"491","November","failed",8,30,43.125,1.53333333333333,11.5,">=10000 & <50000","North America","<100"
"513","March","successful",26,30,19.2692307692308,100.2,16.7,"<2000","North America",">100"
"537","January","failed",2,48,6.865,1.73275448648376,0.286041666666667,"<2000","Europe","<100"
"578","June","successful",1372,45,28.325750728863,125.570022627395,863.620666666667,">=10000 & <50000","Europe",">100"
"594","November","failed",30,30,58.1666666666667,17.45,58.1666666666667,">=10000 & <50000","North America","<100"
"606","March","failed",1,30,1,0.005,0.0333333333333333,">=10000 & <50000","North America","<100"
"611","February","failed",2,60,5.5,3.66666666666667,0.183333333333333,"<2000","North America","<100"
"614","August","successful",706,30,56.690283286119,589.959729248476,1334.11133333333,">=2000 & <10000","Europe",">100"
"620","August","successful",126,31,26.8888888888889,338.8,109.290322580645,"<2000","North America",">100"
"639","September","failed",1,30,0.77,0.0398150925054552,0.0256666666666667,"<2000","North America","<100"
"702","March","failed",369,17,22.6991869918699,99.1242603550296,492.705882352941,">=2000 & <10000","North America","<100"
"710","May","successful",1631,23,101.483139178418,435.576315789474,7196.47826086957,">=10000 & <50000","North America",">100"
"726","May","failed",59,30,56.7966101694915,11.17,111.7,">=10000 & <50000","North America","<100"
"727","May","failed",1,30,75,0.03,2.5,">=100000","North America","<100"
"757","August","successful",216,30,44.15125,232.778278157334,317.889,">=2000 & <10000","Asia & Pacific",">100"
"797","August","failed",5,30,14.2,1.42,2.36666666666667,">=2000 & <10000","North America","<100"
"826","July","successful",1516,38,54.5969656992084,827.69,2178.13157894737,">=10000 & <50000","North America",">100"
"849","November","failed",35,20,85.4485714285714,63.6749971257149,149.535,">=2000 & <10000","Europe","<100"
"850","March","successful",78,28,70.6248717948718,100.799997072289,196.740714285714,">=2000 & <10000","Europe",">100"
"856","February","successful",2140,30,58.7889719626168,1258.084,4193.61333333333,">=10000 & <50000","North America",">100"
"873","October","failed",14,37,167.15,7.76428376381793,63.2459459459459,">=10000 & <50000","Europe","<100"
"885","February","failed",5,30,116.578,27.9287610322655,19.4296666666667,">=2000 & <10000","North America","<100"
"900","June","failed",1,1,30.97,0.3999591904733,30.97,">=2000 & <10000","Europe","<100"
"902","June","failed",3,60,10,3,0.5,"<2000","North America","<100"
"919","June","failed",26,30,46.0592307692308,20.6539717252691,39.918,">=2000 & <10000","Europe","<100"
"924","February","successful",3527,30,41.8276155372838,983.506666666667,4917.53333333333,">=10000 & <50000","North America",">100"
"962","October","failed",0,32,0,0,0,">=10000 & <50000","North America","<100"
"968","November","successful",86,15,81.0618604651163,1046.19494259773,464.754666666667,"<2000","Europe",">100"
"981","September","successful",25,30,10.488,100.997650321636,8.74,"<2000","Latin America",">100"
"989","July","failed",15,31,25.6526666666667,2.94002588634763,12.4125806451613,">=10000 & <50000","Europe","<100"
"999","February","failed",4,31,28.75,25.5555555555556,3.70967741935484,"<2000","North America","<100"
"1051","May","failed",2,30,8.365,2.99982069212838,0.557666666666667,"<2000","Europe","<100"
"1092","December","failed",2,30,10.5,0.21,0.7,">=10000 & <50000","North America","<100"
"1106","October","successful",1447,30,26.4803040774015,510.893333333333,1277.23333333333,">=2000 & <10000","North America",">100"
"1114","August","successful",1588,30,52.9838916876574,420.6921,2804.614,">=10000 & <50000","North America",">100"
"1150","June","failed",0,30,0,0,0,"<2000","North America","<100"
"1167","October","failed",59,30,34.271186440678,20.22,67.4,">=10000 & <50000","North America","<100"
"1170","June","failed",0,30,0,0,0,">=50000 & <100000","North America","<100"
"1180","May","successful",2485,16,26.9569416498994,1339.76,4186.75,">=2000 & <10000","North America",">100"
"1213","July","failed",10,23,47,15.6666666666667,20.4347826086957,">=2000 & <10000","North America","<100"
"1225","January","successful",157,13,123.606687898089,158.060054879673,1492.78846153846,">=10000 & <50000","Europe",">100"
"1230","November","failed",23,30,29.5652173913043,9.71428571428571,22.6666666666667,">=2000 & <10000","North America","<100"
"1233","July","successful",391,37,182.335038363171,4752.86666666667,1926.83783783784,"<2000","North America",">100"
"1263","March","failed",0,44,0,0,0,">=2000 & <10000","North America","<100"
"1306","September","failed",45,30,13.6666666666667,12.3,20.5,">=2000 & <10000","North America","<100"
"1325","January","failed",2,21,65,1.3,6.19047619047619,">=10000 & <50000","North America","<100"
"1330","April","failed",127,30,87.1023622047244,20.1127272727273,368.733333333333,">=50000 & <100000","North America","<100"
"1354","July","failed",4,7,5.75,0.23,3.28571428571429,">=10000 & <50000","North America","<100"
"1383","August","failed",3,60,25,15,1.25,"<2000","North America","<100"
"1457","April","successful",212,28,102.816037735849,114.721052631579,778.464285714286,">=10000 & <50000","North America",">100"
"1465","December","failed",0,30,0,0,0,">=100000","Europe","<100"
"1482","July","successful",65,37,92.3230769230769,100.016666666667,162.189189189189,">=2000 & <10000","North America",">100"
"1502","May","successful",157,17,26.7976433121019,110.27981284649,247.484117647059,">=2000 & <10000","North America",">100"
"1518","May","failed",152,30,22.8469736842105,15.5661170231125,115.758,">=10000 & <50000","North America","<100"
"1537","July","successful",205,15,64.1204390243903,124.787490767691,876.312666666667,">=10000 & <50000","Europe",">100"
"1540","October","failed",14,30,14.4392857142857,0.943312583411884,6.73833333333333,">=10000 & <50000","Europe","<100"
"1543","September","successful",101,30,22.7920792079208,460.4,76.7333333333333,"<2000","North America",">100"
"1556","November","successful",46,21,51.9839130434783,104.288854386546,113.869523809524,">=2000 & <10000","North America",">100"
"1560","April","failed",2,30,3.35,0.239972206204177,0.223333333333333,">=2000 & <10000","Europe","<100"
"1578","February","successful",1243,30,30.7882864038616,153.07936,1275.66133333333,">=10000 & <50000","North America",">100"
"1605","April","successful",235,29,30.5134042553191,130.840055688654,247.263793103448,">=2000 & <10000","Europe",">100"
"1642","June","successful",89,60,10.8343820224719,112.5,16.071,"<2000","Europe",">100"
"1665","May","successful",183,30,76.9125683060109,140.764076407641,469.166666666667,">=2000 & <10000","North America",">100"
"1673","May","failed",0,30,0,0,0,">=10000 & <50000","North America","<100"
"1691","March","failed",20,30,43.9395,21.300127249591,29.293,">=2000 & <10000","North America","<100"
"1702","December","successful",371,30,26.7217250673854,282.800229349293,330.458666666667,">=2000 & <10000","Asia & Pacific",">100"
"1736","September","successful",70,30,42.8571428571429,200,100,"<2000","North America",">100"
"1773","January","failed",17,60,68.8235294117647,16.7142857142857,19.5,">=2000 & <10000","North America","<100"
"1777","September","failed",2,30,1.135,0.39957753916564,0.0756666666666667,"<2000","Europe","<100"
"1800","March","successful",376,30,42.0372340425532,1580.6,526.866666666667,"<2000","North America",">100"
"1803","March","failed",18,30,36.6666666666667,33,22,">=2000 & <10000","North America","<100"
"1807","October","successful",106,9,15.5754716981132,275.166666666667,183.444444444444,"<2000","North America",">100"
"1821","March","successful",687,30,109.904148471616,171.997616312405,2516.805,">=10000 & <50000","Europe",">100"
"1831","June","successful",326,31,29.1901840490798,247.168831168831,306.967741935484,">=2000 & <10000","North America",">100"
"1833","June","failed",0,30,0,0,0,"<2000","North America","<100"
"1852","June","successful",1198,30,52.6546828046745,105.823519513926,2102.677,">=50000 & <100000","North America",">100"
"1862","May","failed",0,30,0,0,0,"<2000","Europe","<100"
"1923","December","failed",2,30,1.46,0.0114155295769725,0.0973333333333333,">=10000 & <50000","Asia & Pacific","<100"
"1938","June","failed",20,45,46.414,7.05000653144053,20.6284444444444,">=10000 & <50000","Europe","<100"
"1976","February","successful",544,40,52.2040441176471,567.98,709.975,">=2000 & <10000","North America",">100"
"1988","March","successful",140,30,6.15714285714286,783.636363636364,28.7333333333333,"<2000","North America",">100"
"2009","March","failed",5,30,2007.6,15.4430769230769,334.6,">=50000 & <100000","North America","<100"
"2032","August","failed",3,30,17.3333333333333,0.0742857142857143,1.73333333333333,">=50000 & <100000","North America","<100"
"2053","February","failed",2,30,3.385,0.120045677646324,0.225666666666667,">=2000 & <10000","Europe","<100"
"2063","January","failed",1,60,515,0.120757088323845,8.58333333333333,">=100000","North America","<100"
"2079","August","successful",509,30,29.3497053045187,746.95,497.966666666667,">=2000 & <10000","North America",">100"
"2088","October","successful",1987,30,21.3734272773025,141.563333333333,1415.63333333333,">=10000 & <50000","North America",">100"
"2102","August","failed",3,8,15.2733333333333,2.59111601210168,5.7275,"<2000","North America","<100"
"2137","April","failed",10,30,37.2,3.72,12.4,">=10000 & <50000","North America","<100"
"2138","August","successful",99,30,31.4008080808081,177.553631399785,103.622666666667,"<2000","North America",">100"
"2163","October","successful",606,30,52.3894389438944,211.653333333333,1058.26666666667,">=10000 & <50000","North America",">100"
"2176","November","failed",15,30,25.754,36.5553852268211,12.877,"<2000","Europe","<100"
"2184","November","failed",0,30,0,0,0,">=50000 & <100000","Europe","<100"
"2193","June","failed",1,25,5,0.05,0.2,">=10000 & <50000","North America","<100"
"2200","September","failed",5,45,3.068,0.500006518989817,0.340888888888889,">=2000 & <10000","Europe","<100"
"2205","July","failed",11,30,111.363636363636,51.0416666666667,40.8333333333333,">=2000 & <10000","North America","<100"
"2252","December","failed",4,29,53.5725,25.1254572741769,7.38931034482759,"<2000","Europe","<100"
"2267","July","successful",139,30,17.0215827338129,788.666666666667,78.8666666666667,"<2000","North America",">100"
"2278","August","successful",203,14,220.37236453202,677.099988799656,3195.39928571429,">=2000 & <10000","Europe",">100"
"2289","August","successful",361,15,42.3750969529086,191.383410879675,1019.82733333333,">=2000 & <10000","Asia & Pacific",">100"
"2312","August","successful",50,35,51.56,103.12,73.6571428571429,">=2000 & <10000","North America",">100"
"2314","February","successful",82,45,54.6219512195122,12797.1428571429,99.5333333333333,"<2000","North America",">100"
"2319","December","successful",36,21,36.4722222222222,131.3,62.5238095238095,"<2000","North America",">100"
"2348","November","successful",148,30,86.0135135135135,1273,424.333333333333,"<2000","North America",">100"
"2362","June","failed",2,36,13,0.52,0.722222222222222,">=2000 & <10000","North America","<100"
"2377","October","failed",7,30,23.1428571428571,8.1,5.4,">=2000 & <10000","North America","<100"
"2397","September","failed",4,45,25,10,2.22222222222222,"<2000","North America","<100"
"2433","June","successful",190,24,22.0490526315789,129.119869811251,174.555,">=2000 & <10000","Europe",">100"
"2436","November","successful",24,25,122.291666666667,117.4,117.4,">=2000 & <10000","North America",">100"
"2486","April","failed",1,30,11.17,0.0250046058170518,0.372333333333333,">=10000 & <50000","Europe","<100"
"2506","August","failed",0,30,0,0,0,">=100000","Europe","<100"
"2524","September","failed",2,40,25.08,2.30006282069506,1.254,">=2000 & <10000","Europe","<100"
"2526","August","successful",237,15,52.7432489451477,274.973932783979,833.343333333333,">=2000 & <10000","Europe",">100"
"2533","November","successful",529,28,31.0453686200378,1113.42372881356,586.535714285714,"<2000","North America",">100"
"2534","November","failed",4,20,19.515,75.5516840882695,3.903,"<2000","Europe","<100"
"2541","August","failed",0,30,0,0,0,">=2000 & <10000","North America","<100"
"2551","February","failed",4,30,22.1725,0.600032339097766,2.95633333333333,">=10000 & <50000","Europe","<100"
"2701","December","failed",13,60,71.3046153846154,0.337999273725993,15.4493333333333,">=100000","Europe","<100"
"2738","April","failed",11,30,12.3636363636364,6.8,4.53333333333333,">=2000 & <10000","North America","<100"
"2782","December","failed",186,35,34.9623655913978,20.9774193548387,185.8,">=10000 & <50000","North America","<100"
"2809","March","failed",0,19,0,0,0,">=50000 & <100000","Asia & Pacific","<100"
"2830","October","successful",529,30,49.3875236294896,141.221621621622,870.866666666667,">=10000 & <50000","North America",">100"
"2855","May","failed",1,30,68.52,6.66660180383534,2.284,"<2000","Europe","<100"
"2863","March","successful",276,20,29.453768115942,115.510060829619,406.462,">=2000 & <10000","Europe",">100"
"2875","September","failed",0,30,0,0,0,">=10000 & <50000","North America","<100"
"2880","October","failed",8,30,26.125,20.9,6.96666666666667,"<2000","North America","<100"
"2899","October","successful",185,33,25.0864864864865,116.025,140.636363636364,">=2000 & <10000","North America",">100"
"2947","March","failed",0,31,0,0,0,"<2000","Europe","<100"
"3005","April","failed",2,30,42.385,7.05088749521734,2.82566666666667,"<2000","Europe","<100"
"3024","July","failed",145,32,43.0275862068966,49.912,194.96875,">=10000 & <50000","North America","<100"
"3028","March","failed",20,30,26.75,7.13333333333333,17.8333333333333,">=2000 & <10000","North America","<100"
"3036","November","failed",0,30,0,0,0,"<2000","North America","<100"
"3055","August","successful",2255,30,50.9967272727273,724.59985507703,3833.254,">=10000 & <50000","Asia & Pacific",">100"
"3070","January","failed",2,30,1.43,0.0133541022307888,0.0953333333333333,">=10000 & <50000","Europe","<100"
"3087","November","successful",469,31,67.0644989339019,156.68330974609,1014.62096774194,">=10000 & <50000","Europe",">100"
"3144","February","failed",19,30,37.7457894736842,1.2786662233106,23.9056666666667,">=50000 & <100000","North America","<100"
"3183","April","successful",2224,29,43.7037365107914,388.78844,3351.62448275862,">=10000 & <50000","North America",">100"
"3185","March","failed",92,30,59.8655434782609,39.1200244339006,183.587666666667,">=10000 & <50000","Europe","<100"
"3253","July","successful",53,30,15.8650943396226,109.10069935514,28.0283333333333,"<2000","North America",">100"
"3279","July","failed",2,30,1.98,1.49858088930937,0.132,"<2000","Europe","<100"
"3311","February","failed",21,31,103.619047619048,4.352,70.1935483870968,">=50000 & <100000","North America","<100"
"3323","September","successful",598,31,20.1003344481605,343.428571428571,387.741935483871,">=2000 & <10000","North America",">100"
"3330","January","failed",19,45,21.9531578947368,5.69326965468575,9.26911111111111,">=2000 & <10000","Latin America","<100"
"3356","March","successful",810,30,94.441975308642,2549.93333333333,2549.93333333333,">=2000 & <10000","North America",">100"
"3383","March","failed",1,28,4.33,0.00400408101855683,0.154642857142857,">=100000","Europe","<100"
"3395","February","failed",3,30,139.68,4.28887251289609,13.968,">=2000 & <10000","Europe","<100"
"3406","August","successful",164,30,57.6178658536585,559.065791030647,314.977666666667,"<2000","Europe",">100"
"3433","August","successful",33,26,127.950303030303,100.766543205162,162.398461538462,">=2000 & <10000","Asia & Pacific",">100"
"3454","March","failed",17,36,50.2329411764706,22.6999898988288,23.7211111111111,">=2000 & <10000","Asia & Pacific","<100"
"3456","November","failed",23,30,23.5886956521739,1.08998996881352,18.0846666666667,">=10000 & <50000","Europe","<100"
"3485","April","failed",97,20,57.8453608247423,70.1375,280.55,">=2000 & <10000","North America","<100"
"3556","February","successful",18,30,48.5555555555556,134.461538461538,29.1333333333333,"<2000","North America",">100"
"3573","January","successful",436,15,55.0302064220183,1371.03828571429,1599.54466666667,"<2000","North America",">100"
"3592","July","failed",1,30,25,0.0333333333333333,0.833333333333333,">=50000 & <100000","North America","<100"
"3594","April","successful",204,18,27.5882352941176,281.4,312.666666666667,">=2000 & <10000","North America",">100"
"3595","August","failed",19,30,67.961052631579,3.87600133636587,43.042,">=10000 & <50000","Europe","<100"
"3601","October","successful",12,24,14.8266666666667,4782.79569892473,7.41333333333333,"<2000","North America",">100"
"3686","April","successful",2477,30,134.704073475979,500.4979899799,11122.0663333333,">=50000 & <100000","North America",">100"
"3703","October","failed",224,30,55.7896875,43.331826166315,416.563,">=10000 & <50000","Europe","<100"
"3713","September","failed",15,45,40.0666666666667,20.0333333333333,13.3555555555556,">=2000 & <10000","North America","<100"
"3719","June","successful",1277,16,25.4714173844949,650.54,2032.9375,">=2000 & <10000","North America",">100"
"3721","January","failed",3,30,2.33333333333333,0.0875,0.233333333333333,">=2000 & <10000","North America","<100"
"3773","February","successful",40,35,79,110.877192982456,90.2857142857143,">=2000 & <10000","North America",">100"
"3855","April","successful",66,30,169.878787878788,101.557971014493,373.733333333333,">=10000 & <50000","North America",">100"
"3913","May","failed",5,32,107,26.75,16.71875,">=2000 & <10000","North America","<100"
"3961","November","failed",769,30,105.614421326398,76.7858848017299,2707.24966666667,">=100000","Europe","<100"
"4015","January","failed",6,35,36,43.2,6.17142857142857,"<2000","North America","<100"
"4050","October","successful",22,30,94.845,618.798932384342,69.553,"<2000","Europe",">100"
"4058","March","successful",874,32,131.70709382151,287.78,3597.25,">=10000 & <50000","North America",">100"
"4065","June","successful",988,31,36.085020242915,356.52,1150.06451612903,">=10000 & <50000","North America",">100"
"4068","March","failed",1,43,0.73,0.0199216777873293,0.0169767441860465,">=2000 & <10000","North America","<100"
"4080","February","failed",9,30,41.62,8.87277102954274,12.486,">=2000 & <10000","North America","<100"
"4083","February","failed",100,30,27.7902,62.0832476967482,92.634,">=2000 & <10000","North America","<100"
"4098","March","failed",81,28,40.3786419753086,45.1299946738198,116.809642857143,">=2000 & <10000","Europe","<100"
"4108","January","failed",2,30,30,2,2,">=2000 & <10000","North America","<100"
"4109","April","failed",16,32,9.8,11.5294117647059,4.9,"<2000","North America","<100"
"4110","September","successful",415,60,60.4325301204819,166.673312465525,417.991666666667,">=10000 & <50000","Europe",">100"
"4128","April","successful",2453,32,35.6961231145536,6767.0767804011,2736.3309375,"<2000","Europe",">100"
"4164","September","failed",1,30,1,0.005,0.0333333333333333,">=10000 & <50000","North America","<100"
"4168","August","failed",5,30,13.6,4.53333333333333,2.26666666666667,"<2000","North America","<100"
"4205","October","successful",119,17,19.6806722689076,3903.33333333333,137.764705882353,"<2000","North America",">100"
"4282","May","failed",1,30,5,0.25,0.166666666666667,">=2000 & <10000","North America","<100"
"4365","August","successful",890,29,39.4752808988764,234.22,1211.48275862069,">=10000 & <50000","North America",">100"
"4391","May","successful",90,30,33.1662222222222,229.999768841356,99.4986666666667,"<2000","Europe",">100"
"4417","August","successful",71,30,35.7464788732394,1269,84.6,"<2000","North America",">100"
"4425","December","failed",70,60,30.3264285714286,1.00049920095798,35.3808333333333,">=100000","Europe","<100"
"4431","May","successful",75,9,34.88,174.4,290.666666666667,"<2000","North America",">100"
"4440","August","successful",30,60,66.2716666666667,124.199603940604,33.1358333333333,"<2000","North America",">100"
"4447","July","failed",1,30,12.87,2.85612835933512,0.429,"<2000","Europe","<100"
"4482","August","failed",10,60,11.343,0.91999685304788,1.8905,">=10000 & <50000","Europe","<100"
"4498","February","successful",260,20,79.6461538461539,103.54,1035.4,">=10000 & <50000","North America",">100"
"4517","February","failed",5,30,15,21.4285714285714,2.5,"<2000","North America","<100"
"4534","September","successful",553,35,52.6566184448463,105.000021635281,831.974571428571,">=10000 & <50000","Europe",">100"
"4538","March","successful",39,30,32.6153846153846,115.636363636364,42.4,"<2000","North America",">100"
"4559","June","failed",0,45,0,0,0,">=10000 & <50000","North America","<100"
"4578","May","failed",0,30,0,0,0,">=2000 & <10000","Europe","<100"
"4584","May","successful",22,40,90.565,100,49.81075,"<2000","Europe","=100"
"4596","October","failed",4,30,4,0.08,0.533333333333333,">=10000 & <50000","North America","<100"
"4614","June","failed",0,10,0,0,0,">=2000 & <10000","Europe","<100"
"4615","September","successful",129,30,79.9302325581395,103.11,343.7,">=10000 & <50000","North America",">100"
"4656","September","failed",4,30,34.9375,1.22998144686304,4.65833333333333,">=10000 & <50000","Europe","<100"
"4683","June","successful",283,30,121.24554770318,586.969738440221,1143.74966666667,">=2000 & <10000","Europe",">100"
"4700","May","failed",8,30,18.125,0.725,4.83333333333333,">=10000 & <50000","North America","<100"
"4714","October","failed",13,31,33.6923076923077,14.6,14.1290322580645,">=2000 & <10000","North America","<100"
"4735","June","failed",3,29,10,0.2,1.03448275862069,">=10000 & <50000","North America","<100"
"4750","February","failed",42,29,74.5476190476191,20.8733333333333,107.965517241379,">=10000 & <50000","North America","<100"
"4782","January","successful",203,30,68.192118226601,138.43,461.433333333333,">=10000 & <50000","North America",">100"
"4796","May","successful",194,30,150.546391752577,194.706666666667,973.533333333333,">=10000 & <50000","North America",">100"
"4819","November","successful",1499,30,3.18472981987992,477391,159.130333333333,"<2000","North America",">100"
"4826","February","failed",5,30,4.6,2.3,0.766666666666667,"<2000","North America","<100"
"4859","February","failed",3,30,2.33333333333333,0.28,0.233333333333333,">=2000 & <10000","North America","<100"
"4868","July","failed",2,30,250.5,0.334,16.7,">=100000","North America","<100"
"4898","October","failed",2,60,7.5,0.015,0.25,">=100000","North America","<100"
"4933","May","successful",132,28,62.8182575757576,103.650125,296.143214285714,">=2000 & <10000","North America",">100"
"4990","January","failed",57,30,18.0877192982456,20.62,34.3666666666667,">=2000 & <10000","North America","<100"
"5003","September","successful",152,30,110.291447368421,141.950042337003,558.81,">=10000 & <50000","Europe",">100"
"5006","August","successful",166,30,11.8010240963855,357.711270177489,65.299,"<2000","Europe",">100"
"5037","August","failed",2,30,27.055,0.0900000781741577,1.80366666666667,">=50000 & <100000","Europe","<100"
"5061","May","failed",3,30,24.3566666666667,5.69982136867477,2.43566666666667,"<2000","Asia & Pacific","<100"
"5085","November","failed",14,31,46.0792857142857,1.22400593038852,20.81,">=50000 & <100000","Europe","<100"
"5086","February","successful",27,14,29.9022222222222,106.998873500762,57.6685714285714,"<2000","North America",">100"
"5178","May","failed",10,30,26,4.33333333333333,8.66666666666667,">=2000 & <10000","North America","<100"
"5208","September","successful",139,31,38.3812949640288,266.75,172.096774193548,">=2000 & <10000","North America",">100"
"5210","August","successful",3317,36,125.884835694905,2087.8,11598.8888888889,">=10000 & <50000","North America",">100"
"5215","March","failed",79,30,31.873417721519,50.36,83.9333333333333,">=2000 & <10000","North America","<100"
"5254","August","failed",6,60,34.1666666666667,41,3.41666666666667,"<2000","North America","<100"
"5272","July","successful",304,60,25.6019736842105,778.3,129.716666666667,"<2000","North America",">100"
"5297","March","failed",19,30,18.0189473684211,44.0992348713193,11.412,"<2000","North America","<100"
"5300","May","failed",493,60,30.8402839756592,45.5433491641992,253.404333333333,">=10000 & <50000","Europe","<100"
"5313","December","failed",0,30,0,0,0,"<2000","North America","<100"
"5318","July","failed",2,25,3,0.06,0.24,">=10000 & <50000","North America","<100"
"5356","July","successful",749,29,27.8499332443258,148.997142857143,719.296551724138,">=10000 & <50000","North America",">100"
"5410","August","successful",2044,30,76.0605479452055,139.296008776304,5182.25866666667,">=100000","Europe",">100"
"5411","December","successful",49,30,56.2408163265306,101.000179585195,91.86,">=2000 & <10000","Europe",">100"
"5417","February","failed",2,60,23,0.0889352899097113,0.766666666666667,">=50000 & <100000","North America","<100"
"5421","March","successful",679,30,93.569469808542,140.983324631025,2117.789,">=10000 & <50000","Europe",">100"
"5452","October","successful",718,21,89.9933844011142,1168.69663201799,3076.91666666667,">=2000 & <10000","Europe",">100"
"5474","August","failed",13,30,15.1538461538462,1.97,6.56666666666667,">=10000 & <50000","North America","<100"
"5490","December","successful",184,11,21.2826086956522,783.2,356,"<2000","North America",">100"
"5495","February","failed",1,30,1,0.2,0.0333333333333333,"<2000","North America","<100"
"5512","August","failed",212,30,55.3705660377358,67.021073119597,391.285333333333,">=10000 & <50000","Europe","<100"
"5513","April","failed",3,60,33.3333333333333,1.61290322580645,1.66666666666667,">=2000 & <10000","North America","<100"
"5516","July","successful",131,30,62.6190076335878,182.000093184445,273.436333333333,">=2000 & <10000","Europe",">100"
"5552","June","failed",32,30,17.59375,35.1875,18.7666666666667,"<2000","North America","<100"
"5577","March","failed",0,30,0,0,0,"<2000","Latin America","<100"
"5614","May","successful",334,31,50.2694610778443,111.933333333333,541.612903225806,">=10000 & <50000","North America",">100"
"5633","November","failed",0,30,0,0,0,">=10000 & <50000","North America","<100"
"5644","March","successful",90,7,13.3666666666667,401,171.857142857143,"<2000","North America",">100"
"5646","December","failed",0,30,0,0,0,">=50000 & <100000","North America","<100"
"5662","August","failed",4,60,25.75,25.75,1.71666666666667,"<2000","North America","<100"
"5675","September","failed",2,30,10.885,0.999967846693032,0.725666666666667,">=2000 & <10000","Asia & Pacific","<100"
"5736","September","failed",17,33,31.3370588235294,5.93509530488763,16.1433333333333,">=2000 & <10000","Europe","<100"
"5744","February","successful",490,29,72.8632653061224,145.726530612245,1231.13793103448,">=10000 & <50000","North America",">100"
"5756","August","failed",4,21,27,1.96363636363636,5.14285714285714,">=2000 & <10000","North America","<100"
"5789","July","failed",40,31,102.72975,52.0099939626138,132.554516129032,">=2000 & <10000","North America","<100"
"5810","May","successful",13,30,40.3846153846154,105,17.5,"<2000","North America",">100"
"5825","October","successful",53,30,67.5471698113208,238.666666666667,119.333333333333,"<2000","North America",">100"
"5832","September","failed",31,45,39.6451612903226,20.4833333333333,27.3111111111111,">=2000 & <10000","North America","<100"
"5839","November","successful",865,21,48.885549132948,528.575,2013.61904761905,">=2000 & <10000","North America",">100"
"5844","May","failed",1,30,4.33,0.150010739798923,0.144333333333333,">=2000 & <10000","Europe","<100"
"5849","May","failed",4,25,2,0.133333333333333,0.32,">=2000 & <10000","North America","<100"
"5860","March","failed",12,30,26.5,6.36,10.6,">=2000 & <10000","North America","<100"
"5870","November","successful",22,34,125.943636363636,127.849760059062,81.4929411764706,">=2000 & <10000","Europe",">100"
"5893","January","successful",81,26,142.359012345679,1561.99016566653,443.503076923077,"<2000","North America",">100"
"5924","March","successful",105,7,30.2344761904762,105.675187159011,453.517142857143,">=2000 & <10000","North America",">100"
"5947","February","failed",4,59,5.25,0.042,0.355932203389831,">=50000 & <100000","North America","<100"
"5952","February","failed",1,60,1,0.001,0.0166666666666667,">=100000","North America","<100"
"5957","May","successful",819,20,130.69326007326,956.04017524194,5351.889,">=10000 & <50000","Europe",">100"
"5997","June","failed",4,30,45,0.579986969626082,6,">=10000 & <50000","Europe","<100"
"6035","November","failed",2,30,29.89,2.37138470936852,1.99266666666667,">=2000 & <10000","North America","<100"
"6058","October","successful",355,30,47.1661971830986,139.533333333333,558.133333333333,">=10000 & <50000","North America",">100"
"6060","July","failed",32,33,31.15625,7.976,30.2121212121212,">=10000 & <50000","North America","<100"
"6087","September","successful",280,29,81.3663571428572,300.42025062075,785.606206896552,">=2000 & <10000","Europe",">100"
